"Yang file",Revision,Mode
ietf-netconf-acm,2012-02-22,CLOUD
netopeer-cfgnetopeer,2015-05-19,CLOUD
ietf-netconf-server,2014-01-24,CLOUD
ietf-x509-cert-to-name,2013-03-26,CLOUD
power-mgnt,2019-09-06,CLOUD
wlan-security-profile,2020-05-05,CLOUD
cubs-cdr,2020-10-27,CLOUD
if-mgnt,2015-06-01,CLOUD
firewall-rule-profile,2020-04-22,CLOUD
wlan-setting,2020-05-05,CLOUD
log-mgnt,2020-09-15,CLOUD
smart-mesh,2021-09-17,CLOUD
ca-cert,2022-04-07,CLOUD
wireless-health,2020-05-26,CLOUD
wlan-live-tool,2015-06-30,CLOUD
wlan-load-balance,2019-06-24,CLOUD
reverse-ssh,2019-04-13,CLOUD
smart-mesh-live-tool,2021-10-21,CLOUD
captive-parameter-profile,2019-08-08,CLOUD
nebula-status,2015-09-15,CLOUD
live-tool,2017-04-06,CLOUD
eth-storm-control,2019-09-06,CLOUD
trouble-shooting,2019-10-24,CLOUD
wlan-load-balance-group,2019-09-02,CLOUD
antenna-switch,2018-05-21,CLOUD
foreign-authenticated-sta,2020-09-01,CLOUD
firmware-update,2015-06-30,CLOUD
bluetooth,2021-03-23,CLOUD
client-os-detection,2015-11-10,CLOUD
walled-garden-profile,2018-01-31,CLOUD
captive-portal-profile,2020-09-01,CLOUD
common-info,2015-07-30,CLOUD
local-dis-authenticated-sta,2018-08-09,CLOUD
wlan-gre-tunnel,2021-05-12,CLOUD
sta-mgnt,2020-05-05,CLOUD
wlan-ap-counter,2019-07-10,CLOUD
debug-authenticated-sta,2015-12-01,CLOUD
eth-uplink,2015-06-01,CLOUD
wlan-vpn-tunnel,2020-09-15,CLOUD
captive-portal-whitelist,2019-12-02,CLOUD
foreign-dis-authenticated-sta,2018-08-09,CLOUD
local-authenticated-sta,2020-09-01,CLOUD
nap-slogin-cert,2018-06-08,CLOUD
wlan-ssid-profile,2022-09-05,CLOUD
wireless-storm-control,2020-09-23,CLOUD
wlan-l2isolate-profile,2015-06-01,CLOUD
system-mgnt,2018-07-02,CLOUD
ap-mgnt,2019-10-03,CLOUD
wlan-radio-profile,2022-01-17,CLOUD
wlan-macfilter-profile,2019-12-12,CLOUD
LLDP-MIB,2015-07-09,CLOUD
nebula-clock,2015-12-15,CLOUD
dot1x-cert,2016-01-13,CLOUD
live-tool-sta,2020-05-11,CLOUD
wlan-dppsk-profile,2020-07-31,CLOUD
